"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "MS SQL", "Prisma", "JavaScript", "Docker", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 2, 36
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\package-lock.json", "JSON", 0, 11889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11890
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\package.json", "JSON", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\browser.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 17, 3, 25
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\client.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 29, 6, 49
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\commonInputTypes.ts", "TypeScript", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 9, 27, 237
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\enums.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 9, 7, 27
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\internal\class.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 106, 30, 205
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\internal\prismaNamespace.ts", "TypeScript", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 208, 144, 792
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\internal\prismaNamespaceBrowser.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 33, 25, 103
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\models.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\prisma\generated\prisma\models\Auth.ts", "TypeScript", 0, 0, 585, 0, 0, 0, 0, 0, 0, 0, 602, 90, 1277
